Day,Date,Event,Start ,Team,Is Junior?,Note
Sat,25/08/2018,Cruise to Sheps Hollow,TBN,,,
Sun,26/08/2018,Summer Holiday Series 4 of 6 - Back to Back,1030,8,,
Tue,28/08/2018,Adult Training 22,1800,,,
Thu,30/08/2018,Twilight Series 4 of 7,1830,G,,Air Festival
Sat,01/09/2018,Bent /Macdona Single Handed Cups,1400,9,,Air Festival
Sun,02/09/2018,Summer Holiday Series 5 of 6 - Back to Back,1030,1,,Air Festival
Tue,04/09/2018,Adult Training 23,1800,,,
Thu,06/09/2018,Twilight Series 5 of 7,1830,H,,
Sat,08/09/2018,Cruise to Studland ,1030,,,Folk Festival
Sun,09/09/2018,Summer Holiday Series 6 of 6 - Back to Back,1030,2,,Folk Festival
Tue,11/09/2018,Adult Training 24 - Last one,1800,,,
Thu,13/09/2018,Twilight Series 6 of 7,1830,J,,
Sat,15/09/2018,Cup Reserve 1/ Race Training,1400,3,,
Sun,16/09/2018,Autumn Series 1 of 7 ,1100,4,,
Thu,20/09/2018,Twilight Series 7 of 7,1830,A,,
Sat,22/09/2018,Cup Reserve 2/ Race Training,1400,5,,
Sun,23/09/2018,Autumn Series 2 of 7,1100,6,,
Sun,30/09/2018,Autumn Series 3 of 7,1100,7,,
Sat,06/10/2017,Cup Reserve 3/ Race Training,1100,8,,
Sun,07/10/2018,Autumn Series 4 of 7,1100,9,,
Sun,14/10/2018,Autumn Series 5 of 7,1100,1,,
Sun,21/10/2018,Autumn Series 6 of 7,1100,2,,
Sun,28/10/2018,B.S.T ENDS - CLOCKS BACK ONE HOUR,,,,
Sun,28/10/2018,Autumn Series 7 of 7,1100,3,,
Thu,01/11/2018,Winter Berthing starts (payment due),,,,
Sun,04/11/2018,Boat move and Beach Clean ,1100,,,
Sun ,11/11/2018,Winter Fun Sailing,1100,,,
Sun,18/11/2018,Winter Fun Sailing,1100,,,
Sat,24/11/2018,AGM,1100,,,
Sun,25/11/2018,Active Sailors Meeting,1100,,,
Sun,02/12/2018,Winter Fun Sailing,1100,,,
Sun,09/12/2018,Winter Fun Sailing,1100,,,
Sun,16/12/2018,Winter Fun Sailing,1100,,,
